Ledningskonstruktion;Säkerhetsklass;Områdestyp;Stolptyp;Stolpmaterial;Ledningsmaterial;Ledningsisolering;Tvärsnittsarea;Spänningsnivå;Imax;Kostnadskod;Kommentar;
overh;none;Landsbygd;none;none;AlloyAl;undef;234;52;370;R-NR-LL-2-3;;
overh;none;Tätort;none;none;AlloyAl;undef;241;24;560;NG11015;;
overh;B;Landsbygd;single;wood;AlloyAl;undef;234;24;560;NG11015;;
overh;none;Landsbygd;none;none;AlloyAl;undef;234;24;560;NG11015;;
overh;B;Landsbygd;single;wood;ACSR;undef;234;24;525;NG11015;;
overh;B;Tätort;single;wood;AlloyAl;undef;241;24;560;NG11015;;
overh;B;Landsbygd;single;wood;AlloyAl;undef;241;24;560;NG11015;;
overh;none;Landsbygd;none;none;AlloyAl;undef;241;24;560;NG11015;;
overh;B;Tätort;single;wood;ACSR;undef;157;24;395;NG11014;;
overh;B;Landsbygd;single;wood;ACSR;undef;157;24;395;NG11014;;
overh;B;Landsbygd;single;wood;Cu;undef;25;24;165;NG11012;;
overh;none;Landsbygd;none;none;Cu;undef;25;24;165;NG11012;;
overh;none;Landsbygd;none;none;ACSR;undef;157;24;395;NG11014;;
overh;none;Landsbygd;none;none;Cu;undef;35;24;200;NG11012;;
overh;none;Landsbygd;none;none;ACSR;undef;62;24;245;NG11012;;
overh;B;Landsbygd svår mark;single;wood;ACSR;undef;157;52;270;R-NR-LL-2-2;;
overh;B;Landsbygd svår mark;single;wood;ACSR;undef;234;52;340;R-NR-LL-2-3;;
overh;none;Landsbygd;none;none;ACSR;undef;234;52;340;R-NR-LL-2-3;;
overh;B;Landsbygd;single;wood;ACSR;undef;234;52;340;R-NR-LL-2-3;;
overh;none;Landsbygd svår mark;none;none;ACSR;undef;62;24;245;NG11012;;
overh;B;Tätort;single;wood;ACSR;undef;49;24;175;NG11012;;
overh;none;Landsbygd svår mark;none;none;ACSR;undef;62;24;210;NG11012;;
overh;B;Landsbygd svår mark;single;wood;ACSR;undef;157;24;395;NG11014;;
overh;none;Landsbygd;none;none;ACSR;undef;157;12;395;NG11014;;
overh;B;Landsbygd;single;wood;ACSR;undef;62;12;210;NG11012;;
overh;none;Landsbygd;none;none;ACSR;undef;62;12;210;NG11012;;
overh;B;Tätort;single;wood;ACSR;undef;99;12;285;NG11013;;
overh;B;Landsbygd svår mark;single;wood;ACSR;undef;99;12;285;NG11013;;
overh;B;Landsbygd svår mark;single;wood;ACSR;undef;99;52;155;R-NR-LL-2-1;;
overh;none;Landsbygd;none;none;ACSR;undef;99;12;285;NG11013;;
overh;none;Landsbygd svår mark;none;none;ACSR;undef;99;12;285;NG11013;;
overh;B;Tätort;single;wood;ACSR;undef;62;12;210;NG11012;;
overh;none;Tätort;none;none;ACSR;undef;62;12;210;NG11012;;
overh;B;Landsbygd svår mark;single;wood;ACSR;undef;62;12;210;NG11012;;
overh;none;Landsbygd svår mark;none;none;ACSR;undef;62;12;210;NG11012;;
overh;B;Landsbygd;single;wood;ACSR;undef;234;12;525;NG11015;;
overh;none;Landsbygd;none;none;ACSR;undef;234;12;525;NG11015;;
overh;B;Tätort;single;wood;ACSR;undef;234;12;525;NG11015;;
overh;none;Tätort;none;none;ACSR;undef;49;24;175;NG11012;;
overh;B;Landsbygd svår mark;single;wood;ACSR;undef;31;24;130;NG11012;;
overh;B;Tätort;single;wood;ACSR;undef;234;24;525;NG11015;;
overh;none;Landsbygd;none;none;ACSR;undef;593;52;800;R-NR-LL-2-6;;
overh;none;Landsbygd svår mark;none;none;ACSR;undef;593;52;800;R-NR-LL-2-6;;
overh;none;Landsbygd;none;none;ACSR;undef;234;24;525;NG11015;;
overh;B;Landsbygd svår mark;single;wood;AlloyAl;undef;234;52;370;R-NR-LL-2-3;;
overh;none;Landsbygd svår mark;none;none;ACSR;undef;234;52;340;R-NR-LL-2-3;;
overh;none;Landsbygd;none;none;AlloyAl;undef;241;52;365;R-NR-LL-2-3;;
overh;B;Landsbygd svår mark;single;wood;ACSR;undef;99;24;285;NG11013;;
overh;none;Landsbygd svår mark;none;none;ACSR;undef;99;24;285;NG11013;;
overh;B;Landsbygd svår mark;single;wood;ACSR;undef;234;24;525;NG11015;;
overh;none;Tätort;none;none;ACSR;undef;234;24;525;NG11015;;
overh;none;Tätort;none;none;ACSR;undef;157;24;395;NG11014;;
overh;B;Landsbygd svår mark;single;wood;ACSR;undef;49;24;175;NG11012;;
overh;none;Landsbygd svår mark;none;none;ACSR;undef;49;24;175;NG11012;;
overh;none;Landsbygd svår mark;none;none;ACSR;undef;157;24;395;NG11014;;
